VEH_BODY_STYL_ID,PRSN_ETHNICITY_ID,NBR_ACC
AMBULANCE,WHITE,58
BUS,HISPANIC,138
FARM EQUIPMENT,WHITE,32
FIRE TRUCK,WHITE,52
MOTORCYCLE,WHITE,560
NEV-NEIGHBORHOOD ELECTRIC VEHICLE,WHITE,3
NOT REPORTED,HISPANIC,1
OTHER  (EXPLAIN IN NARRATIVE),WHITE,238
"PASSENGER CAR, 2-DOOR",WHITE,6319
"PASSENGER CAR, 4-DOOR",WHITE,29351
PICKUP,WHITE,20792
POLICE CAR/TRUCK,WHITE,252
POLICE MOTORCYCLE,HISPANIC,3
SPORT UTILITY VEHICLE,WHITE,18157
TRUCK,WHITE,2021
TRUCK TRACTOR,WHITE,1858
VAN,WHITE,3265
YELLOW SCHOOL BUS,WHITE,85
